ano,descricao,quantidade,unidadeMedida,valorUnitarioEstimado,valorTotalEstimado,valorUnitarioHomologado,tipoPessoa,cpfCnpjFornecedor,razaoSocialFornecedor,nuProcesso,ano_referencia
2024,"COPO long drink 300 ml, personalizado, altura 133 mm e diâmetro 63 mm, conforme Termo de Referência.",10000.0,Un,2.97,29700.0,2.97,PJ,8769083000105,SABRA ENEAS DA SILVA,07.000.000621.2024,2024
2024,"SERVIÇO técnico profissional em geral, pessoa jurídica, incluindo fornecimento de material. O detalhamento do serviço está especificado em termo de referência.",1.0,Un,20080.0,20080.0,20080.0,PJ,44299172000183,MCL SERVICOS LTDA,07.000.000648.2024,2024
2024,"SERVIÇO técnico profissional em geral, pessoa jurídica, incluindo fornecimento de material. O detalhamento do serviço está especificado em termo de referência.",1.0,Un,17000.0,17000.0,17000.0,PJ,50608586000140,JOSE FLAVIO CALACA DA SILVA,07.000.000656.2024,2024
2024,"SERVIÇO técnico profissional em geral, pessoa jurídica, incluindo fornecimento de material. O detalhamento do serviço está especificado em termo de referência.",1.0,Un,48860.0,48860.0,48860.0,PJ,09661897000179,J M TEC LTDA,07.000.000658.2024,2024
2024,CONCESSÃO de patrocínio a clubes e entidades desportistas. “Paraíba Esporte Total”.,1.0,Un,56480.6,56480.6,56480.8,PJ,09142183000154,INSTITUTO DOS CEGOS DA PARAIBA ADALGISA CUNHA,07.000.001049.2024,2024
2024,CONCESSÃO de patrocínio a clubes e entidades desportistas. “Paraíba Esporte Total”.,1.0,Un,56400.8,56400.8,56400.8,PJ,09154832000137,ASSOCIAÇÃO PARAIBANA DE CEGOS - APACE,07.000.001051.2024,2024
2024,CONCESSÃO de patrocínio a clubes e entidades desportistas. “Paraíba Esporte Total”.,1.0,Un,69988.0,69988.0,69988.0,PJ,05306111000144,ASSOCIAÇÃO ATLÉTICA DAS PESSOAS COM DEFICIÊNCIA DA PARAÍBA,07.000.001054.2024,2024
2024,CONCESSÃO de patrocínio a clubes e entidades desportistas. “Paraíba Esporte Total”.,1.0,Un,70000.0,70000.0,70000.0,PJ,04883869000182,APADEVI (ASSOCIAÇÃO PARAIBANA DOS DEFICIENTES VISUAIS),07.000.001055.2024,2024
2024,CONCESSÃO de patrocínio a clubes e entidades desportistas. “Paraíba Esporte Total”.,1.0,Un,112500.0,112500.0,112500.0,PJ,29601770000108,ASSOCIAÇÃO ATLÉTICA UNIFACISA,07.000.001056.2024,2024
2024,CONCESSÃO de patrocínio a clubes e entidades desportistas. “Paraíba Esporte Total”.,1.0,Un,60000.0,60000.0,60000.0,PJ,14696038000155, ASSOCIAÇÃO DE ED. ESPECIAL MÃOS DADAS,07.000.001057.2024,2024
2024,CONCESSÃO de patrocínio a clubes e entidades desportistas. “Paraíba Esporte Total”.,1.0,Un,60000.0,60000.0,60000.0,PJ,36684384000156,ASSOCIAÇÃO ESPORTIVA JANAÍNA CHIANCA AEJC,07.000.001058.2024,2024
2024,CONCESSÃO de patrocínio a clubes e entidades desportistas. “Paraíba Esporte Total”.,1.0,Un,112500.0,112500.0,112500.0,PJ,10758430000120,ASSOCIAÇÃO DESPORTIVA ESPECTROS,07.000.001059.2024,2024
2024,CONCESSÃO de patrocínio a clubes e entidades desportistas. “Paraíba Esporte Total”.,1.0,Un,150000.0,150000.0,150000.0,PJ,08580409000136,CLUBE CAMPESTRE,07.000.001060.2024,2024
2024,CONCESSÃO de patrocínio a clubes e entidades desportistas. “Paraíba Esporte Total”.,1.0,Un,70000.0,70000.0,70000.0,PJ,08580409000136,CLUBE CAMPESTRE,07.000.001061.2024,2024
2024,CONCESSÃO de patrocínio a clubes e entidades desportistas. “Paraíba Esporte Total”.,1.0,Un,70000.0,70000.0,70000.0,PJ,09239302000191,FEDERAÇÃO PARAIBANA DE TÊNIS,07.000.001062.2024,2024
2024,CONCESSÃO de patrocínio a clubes e entidades desportistas. “Paraíba Esporte Total”.,1.0,Un,71118.4,71118.4,71118.4,PJ,05590771000108,FEDERAÇÃO PARAIBANA DE SURF,07.000.001063.2024,2024
2024,CONCESSÃO de patrocínio a clubes e entidades desportistas. “Paraíba Esporte Total”.,1.0,Un,40000.0,40000.0,40000.0,PJ,03362911000157,GRÊMIO VILA OLÍMPICA PARAHYBA,07.000.001064.2024,2024
2024,"SERVIÇO técnico profissional em geral, pessoa jurídica, incluindo fornecimento de material. O detalhamento do serviço está especificado em termo de referência.",1.0,Un,129.9,129.9,129.9,PJ,29056741000176,AR I9 CERTIFICACAO DIGITAL SERVICOS LTDA,07.901.000191.2024,2024
2024,"BOLA de Basquete fabricada em PU, com rebaixo nos frisos, circunferência aproximada entre 75 – 77 cm, pesando entre 510 — 517g.",6.0,Un,553.2,9957.6,159.99,PJ,42867490000178,SPORTS TEXTIL COMERCIO DE ARTIGOS E EVENTOS LTDA,07.901.000380.2024,2024
2024,"BOLA de Handebol Oficial, costurada com 32 gomos, confeccionada em PU ultra grip, tamanho: 49-51 cm, peso 230 - 270g, miolo removível e lubrificado, aprovada pela CBHB . ",6.0,Un,169.99,1019.94,191.5,PJ,42867490000178,SPORTS TEXTIL COMERCIO DE ARTIGOS E EVENTOS LTDA,07.901.000380.2024,2024
2024,"BOLA de Handebol masculino - Tipo oficial, com 32 gomos, costurada com peso variando entre 425 e 475g, com circunferência variando entre 58 e 60 cm, fabricada em PU.",6.0,Un,191.5,1149.0,169.99,PJ,42867490000178,SPORTS TEXTIL COMERCIO DE ARTIGOS E EVENTOS LTDA,07.901.000380.2024,2024
2024,"BOLA para Voleibol Oficial, com as seguintes características: circunferência de (65 a 70) cm, peso de (260 a 280) g, em PVC, matrizada, com miolo removível e câmara de butil.",80.0,Un,531.9,10638.0,108.0,PJ,42867490000178,SPORTS TEXTIL COMERCIO DE ARTIGOS E EVENTOS LTDA,07.901.000380.2024,2024
2024,"BOLA para futsal oficial, circunferência de 60 a 64 cm e peso de 390 a 440g, categoria principal, em PVC, matrizada, com miolo removível e câmara de butil.",50.0,Un,127.65,6382.5,127.65,PJ,42867490000178,SPORTS TEXTIL COMERCIO DE ARTIGOS E EVENTOS LTDA,07.901.000380.2024,2024
2024,"BOLA para handebol oficial, feminino, costurada com 32 gomos, confeccionada em PU ultra grip, 54-56cm de diâmetro, 325 - 400 g de peso, câmara air bility, válvula com miolo slip system removível e lubrificado.  ",80.0,Un,159.99,959.94,95.0,PJ,42867490000178,SPORTS TEXTIL COMERCIO DE ARTIGOS E EVENTOS LTDA,07.901.000380.2024,2024
2024,"REDE oficial (7,50 X 2,50 m) para Futebol de Campo Tradicional, em fio 4, com 2mm de espessura e malha de 16 x 16cm.",18.0,Par,362.6,10878.0,553.2,PJ,42867490000178,SPORTS TEXTIL COMERCIO DE ARTIGOS E EVENTOS LTDA,07.901.000380.2024,2024
2024,"TROFÉU em acrílico cristal de 4 e 8 mm com adesivos de impressão em alta resolução e cobertura de resina medidas (25 x 20 x 4)cm, tipo círculo, conforme modelo.",20.0,Un,108.0,8640.0,531.9,PJ,42867490000178,SPORTS TEXTIL COMERCIO DE ARTIGOS E EVENTOS LTDA,07.901.000380.2024,2024
2024,"TROFÉU em acrílico e adesivo com impressão digital e resina, base em MDF laqueado, medindo 10 X 20 cm, conforme modelo.",30.0,Un,95.0,7600.0,362.6,PJ,42867490000178,SPORTS TEXTIL COMERCIO DE ARTIGOS E EVENTOS LTDA,07.901.000380.2024,2024
2024,SERVIÇO de empresa para realização e organização de corrida de rua. Conforme termo de referência.,1.0,Un,58900.0,58900.0,58900.0,PJ,39531557000194,RAYANNA FRAGOSO DE MORAES SOUZA LTDA,07.901.000450.2024,2024
2024,"LOCAÇÃO de impressora multifuncional laser colorida, com detalhamento conforme Termo de Referência.",3.0,Un,420.0,1260.0,420.0,PJ,40938508000150,MAQ-LAREM MAQUINAS MOV. E EQUIPAMENTOS LTDA,07.901.000477.2024,2024
2024,"LOCAÇÃO de impressora multifuncional laser monocromática, com detalhamento em Termo de Referência.",7.0,Un,300.0,2100.0,300.0,PJ,40938508000150,MAQ-LAREM MAQUINAS MOV. E EQUIPAMENTOS LTDA,07.901.000477.2024,2024
2024,"CONJUNTO Jaqueta/Calça: jaqueta preta com degrade vermelho e preto, bolso com zíper nas laterais da frente, calça preta detalhe na lateral em transfer degrade preto e vermelho, forro do bolso com telinha, bolso com zíper. Conforme termo de referência.",316.0,Un,95.0,30020.0,95.0,PJ,49399350000161,RAPIDO TEXTIL LTDA,07.901.000546.2024,2024
2024,"MEDALHA em acrílico, adesivo com impressão digital e resina, personalizada. Medindo 6cm de diâmetro.",3300.0,Un,9.8,32340.0,9.8,PJ,41122714000150,IVANILDO MOREIRA PALITO-ME,07.901.000549.2024,2024
2024,"SERVIÇO técnico profissional em geral, pessoa jurídica, incluindo fornecimento de material. O detalhamento do serviço está especificado em termo de referência.",1.0,Un,14700.0,14700.0,14700.0,PJ,44299172000183,MCL SERVICOS LTDA,07.901.000688.2024,2024
2024,"SERVIÇO Técnico Especializados em Tecnologia da Informação – TI, para suporte presencial (Segundo Nível de Atendimento), conforme especificações, detalhamento, quantitativos, condições e exigências, contidas no Termo de Referência.",1.0,UST,14280.0,14280.0,14280.0,PJ,29768962000177,RAFAEL SILVA MARQUES 04731878179,08.000.000002.2024,2024
2024,"LOCAÇÃO de copiadora digital multifuncional, laser monocromática, 16PPM USB com as seguintes características: FRANQUIA MENSAL: 5.000 páginas; Tipos de função: IMPRESSORA: tecnologia a laser monocromática, velocidade mínima de 16 páginas por minuto, resolução mínima de 600 x 600 dpi, memória mínima de 64 Mb, capacidade mensal de impressão mínima de 10.000 páginas, conectividade/interface: USB, rede 10/100; Compatibilidade: Windows 98/2000/XP. COPIADORA: tecnologia a laser monocromática, velocidade mínima de 16 páginas por minuto, escala de zoom mínima 50% a 200%, resolução mínima de 600x 600 dpi, cópias múltiplas: 1 a 99 páginas; SCANNER COLORIDO: resolução 600x600 DPI no mínimo; CARACTERÍSTICAS GERAIS: alimentação do papel: 1 ou mais gavetas com capacidade mínima total de 250 folhas, bypass para no mínimo 30 folhas, tamanhos dos papéis suportados: A4 até ofício II, voltagem 220 v; ou 110 v desde que acompanhada de transformador; ASSISTÊNCIA TÉCNICA: ON SITE, autorizada do fabricante do equipamento em João Pessoa/Pb, com fornecimento de peças e consumíveis (tonner e cilindro), exceto papel, durante o período de locação. ACESSÓRIOS: 01 cartucho de tonner, cilindro, drivers de instalação, cabos de força. DOCUMENTAÇÃO: Documentação técnica que possibilite, sem necessidade de uso de nenhum outro recurso, a completa averiguação de conformidade com estas especificações; Todas as características técnicas obrigatórias deverão ser comprovadas através de catálogos, manuais e folders do fabricante de cada componente do equipamento, os quais deverão ser entregues juntamente com as respectivas propostas técnicas; OUTROS REQUISITOS: O equipamento fornecido deve ser novo (sem uso, reforma ou recondicionamento) e se encontrar em linha de fabricação, com comprovação dada pelo fabricante. Mensal.",2120.0,Un,3186.0,9558.0,0.235,PJ,01551920000160,Copyline,08.000.000004.2024,2024
2024,SERVIÇO de Outsourcing de Impressão – Impressão / Cópia Monocromática. Com detalhamento em Termo de Referência.,3.0,Un,0.58,1229.6,250.0,PJ,01551920000160,Copyline,08.000.000004.2024,2024
2024,"GELO, drink, feito com água potável, pacote com 03 quilos. Validade impressa na embalagem do produto.",158.0,Pct,10.78,14014.0,6.48,PJ,02368789000163,INDUSTRIA DE POLPAS DE FRUTAS NATURAL SABOR LTDA,09.000.000008.2024,2024
2024,"POLPA de Fruta, natural, sabor caju, congelada. Embalagem com dados de identificação do produto, marca do fabricante, data de fabricação, prazo de validade e capacidade. Item registrado na ata: 0070/2023",400.0,Kg,8.89,1938.02,7.0,PJ,47150573000165,MULTI SERVICOS E SOLUCOES LTDA,09.000.000008.2024,2024
2024,"POLPA de Fruta, natural, sabor goiaba, congelada. Embalagem com dados de identificação do produto, marca do fabricante, data de fabricação, prazo de validade e capacidade. Item registrado na ata: 0070/2023",680.0,Kg,8.89,1938.02,5.39,PJ,02368789000163,INDUSTRIA DE POLPAS DE FRUTAS NATURAL SABOR LTDA,09.000.000008.2024,2024
2024,"POLPA de fruta, natural, sabor abacaxi. Embalagem com dados de identificação do produto, marca do fabricante, data de fabricação e prazo de validade.",218.0,Kg,9.65,4429.35,5.39,PJ,02368789000163,INDUSTRIA DE POLPAS DE FRUTAS NATURAL SABOR LTDA,09.000.000008.2024,2024
2024,"POLPA de fruta, natural, sabor acerola. Embalagem com dados de identificação do produtomarca do fabricante, data de fabricação e prazo de validade.",218.0,Kg,9.0,6120.0,5.39,PJ,02368789000163,INDUSTRIA DE POLPAS DE FRUTAS NATURAL SABOR LTDA,09.000.000008.2024,2024
2024,"POLPA de fruta, natural, sabor ameixa. Embalagem com dados de identificação do produto, marca do fabricante, data de fabricação e prazo de validade.",308.0,Kg,19.62,10398.6,5.39,PJ,02368789000163,INDUSTRIA DE POLPAS DE FRUTAS NATURAL SABOR LTDA,09.000.000008.2024,2024
2024,"POLPA de fruta, natural, sabor cajá. Embalagem com dados de identificação do produto, marca do fabricante, data de fabricação e prazo de validade.",459.0,Kg,11.9,8460.9,5.39,PJ,02368789000163,INDUSTRIA DE POLPAS DE FRUTAS NATURAL SABOR LTDA,09.000.000008.2024,2024
2024,"POLPA de fruta, natural, sabor graviola. Embalagem com dados de identificação do produto, marca do fabricante, data de fabricação e prazo de validade.",338.0,Kg,12.39,9465.96,11.0,PJ,47150573000165,MULTI SERVICOS E SOLUCOES LTDA,09.000.000008.2024,2024
2024,"POLPA de fruta, natural, sabor manga. Embalagem com dados de identificação do produto, marca do fabricante, data de fabricação e prazo de validade.",711.0,Kg,9.53,2935.24,6.78,PJ,02368789000163,INDUSTRIA DE POLPAS DE FRUTAS NATURAL SABOR LTDA,09.000.000008.2024,2024
2024,"POLPA de fruta, natural, sabor maracujá. Embalagem com dados de identificação do produto, marca do fabricante, data de fabricação e prazo de validade.",764.0,Kg,15.68,5299.84,6.9,PJ,02368789000163,INDUSTRIA DE POLPAS DE FRUTAS NATURAL SABOR LTDA,09.000.000008.2024,2024
2024,"POLPA de fruta, natural, sabor uva. Embalagem com dados de identificação do produto, marca do fabricante, data de fabricação e prazo de validade.",530.0,Kg,13.56,2142.48,14.0,PJ,02368789000163,INDUSTRIA DE POLPAS DE FRUTAS NATURAL SABOR LTDA,09.000.000008.2024,2024
2024,"SUCO/refresco de tangerina congelada. Embalagem com dados de identificação do produto, marca do fabricante, data de fabricação e prazo de validade.",1300.0,Kg,10.99,4396.0,7.0,PJ,47150573000165,MULTI SERVICOS E SOLUCOES LTDA,09.000.000008.2024,2024
2024,"ABACATE de primeira, tamanho médio, uniforme, com condições de consumo. Com ausência de sujidades, parasitos e larvas.  Item registrado na ata: 0034/2023",28.0,Kg,8.5,2550.0,13.76,PJ,52441900000178,R G DISTRIBUIDORA DE ALIMENTOS LTDA,09.000.000009.2024,2024
2024,"ABACAXI de primeira. Com ausência de sujidades, parasitos e larvas.  Item registrado na ata: 0034/2023",70.0,Kg,5.16,2167.2,6.0,PJ,52441900000178,R G DISTRIBUIDORA DE ALIMENTOS LTDA,09.000.000009.2024,2024
2024,"ABOBRINHA de primeira. Com ausência de sujidades, parasitos e larvas.  Item registrado na ata: 0034/2023",119.0,Kg,6.01,715.19,4.2,PJ,52441900000178,R G DISTRIBUIDORA DE ALIMENTOS LTDA,09.000.000009.2024,2024
2024,"ACELGA de primeira, in natura. Com ausência de sujidades, parasitos e larvas. ",1200.0,Kg,6.38,893.2,13.0,PJ,52441900000178,R G DISTRIBUIDORA DE ALIMENTOS LTDA,09.000.000009.2024,2024
2024,"ACEROLA de primeira, in natura. Com ausência de sujidades, parasitos e larvas.  Item registrado na ata: 0034/2023",154.0,Kg,7.21,1261.75,3.25,PJ,52441900000178,R G DISTRIBUIDORA DE ALIMENTOS LTDA,09.000.000009.2024,2024
2024,"AGRIÃO de primeira, em molho. Com ausência de sujidades, parasitos e larvas.  Item registrado na ata: 0034/2023",77.0,molho,3.48,657.72,6.78,PJ,52441900000178,R G DISTRIBUIDORA DE ALIMENTOS LTDA,09.000.000009.2024,2024
2024,"ALECRIM de primeira, in natura, em molho. Com ausência de sujidades, parasitos e larvas.  Item registrado na ata: 0034/2023",35.0,molho,2.47,570.57,15.0,PJ,52441900000178,R G DISTRIBUIDORA DE ALIMENTOS LTDA,09.000.000009.2024,2024
2024,"ALFACE americana de primeira, in natura, em molho.Pesando, no mínimo, 100g. Com ausência de sujidades,parasitos e larvas.  Item registrado na ata: 0034/2023",161.0,molho,3.35,938.0,3.29,PJ,52441900000178,R G DISTRIBUIDORA DE ALIMENTOS LTDA,09.000.000009.2024,2024
2024,"ALFACE crespa de primeira (em pé), in natura. Pesando, no mínimo, 100g. Com ausência de sujidades, parasitos e larvas.  Item registrado na ata: 0034/2023",63.0,molho,3.31,810.95,8.55,PJ,52441900000178,R G DISTRIBUIDORA DE ALIMENTOS LTDA,09.000.000009.2024,2024
2024,"ALFACE lisa de primeira (em pé), in natura. Pesando, no mínimo, 100g. Com ausência de sujidades, parasitos e larvas.  Item registrado na ata: 0034/2023",182.0,molho,3.05,854.0,3.05,PJ,52441900000178,R G DISTRIBUIDORA DE ALIMENTOS LTDA,09.000.000009.2024,2024
2024,"ALFACE roxo de primeira, in natura, em molho.Pesando, no mínimo, 100g. Com ausência de sujidades,parasitos e larvas.  Item registrado na ata: 0034/2023",231.0,molho,3.63,1016.4,2.47,PJ,52441900000178,R G DISTRIBUIDORA DE ALIMENTOS LTDA,09.000.000009.2024,2024
2024,"ALHO com cabeça inteira, dentes grandes e uniformes. Com ausência de sujidades, parasitos e larvas.  Item registrado na ata: 0063/2024",63.0,Kg,27.63,12433.5,9.18,PJ,52441900000178,R G DISTRIBUIDORA DE ALIMENTOS LTDA,09.000.000009.2024,2024
2024,"ALHO poró de primeira, in natura, em molho. Comausência de sujidades, parasitos e larvas.  Item registrado na ata: 0034/2023",77.0,molho,7.01,2103.0,7.52,PJ,52441900000178,R G DISTRIBUIDORA DE ALIMENTOS LTDA,09.000.000009.2024,2024
2024,"AMEIXA fresca de primeira, in natura. Com ausência de sujidades, parasitos e larvas.  Item registrado na ata: 0034/2023",182.0,Kg,23.14,6942.0,3.55,PJ,52441900000178,R G DISTRIBUIDORA DE ALIMENTOS LTDA,09.000.000009.2024,2024
2024,"BANANA da terra, com 60 a 70% de maturação climatizada. Com ausência de sujidades, parasitos e larvas.  Item registrado na ata: 0034/2023",119.0,Kg,6.7,1876.0,5.51,PJ,52441900000178,R G DISTRIBUIDORA DE ALIMENTOS LTDA,09.000.000009.2024,2024
2024,"BANANA maçã de primeira, in natura. Com ausência desujidades, parasitos e larvas.  Item registrado na ata: 0034/2023",189.0,Kg,8.35,1052.1,3.48,PJ,52441900000178,R G DISTRIBUIDORA DE ALIMENTOS LTDA,09.000.000009.2024,2024
2024,"BANANA pacovan de primeira, in natura. Com ausência de sujidades, parasitos e larvas.  Item registrado na ata: 0063/2024",28.0,Kg,5.23,2013.55,24.01,PJ,52441900000178,R G DISTRIBUIDORA DE ALIMENTOS LTDA,09.000.000009.2024,2024
2024,"BANANA prata, com 60 a 70% de maturação climatizada. Com ausência de sujidades, parasitos e larvas.  Item registrado na ata: 0034/2023",168.0,Kg,6.24,1310.4,4.02,PJ,52441900000178,R G DISTRIBUIDORA DE ALIMENTOS LTDA,09.000.000009.2024,2024
2024,"BATATA Doce roxa, de primeira, in natura, apresentando grau de maturação, tal que lhe permita suportar a manipulação, o transporte e a conservação em condições adequadas para o consumo.  Item registrado na ata: 0034/2023",126.0,Kg,4.89,5134.5,5.71,PJ,52441900000178,R G DISTRIBUIDORA DE ALIMENTOS LTDA,09.000.000009.2024,2024
2024,"BATATA doce branca de primeira, in natura. Com ausência de sujidades, parasitos e larvas.  Item registrado na ata: 0034/2023",49.0,Kg,6.75,2835.0,14.01,PJ,52441900000178,R G DISTRIBUIDORA DE ALIMENTOS LTDA,09.000.000009.2024,2024
2024,"BATATA inglesa de primeira, tamanho médio. Com ausência de sujidades, parasitos e larvas.  Item registrado na ata: 0063/2024",21.0,Kg,8.88,10567.2,34.37,PJ,52441900000178,R G DISTRIBUIDORA DE ALIMENTOS LTDA,09.000.000009.2024,2024
2024,"BERINJELA de primeira, tamanho médio. Com ausência de sujidades, parasitos e larvas.  Item registrado na ata: 0034/2023",238.0,Kg,5.44,761.6,3.08,PJ,52441900000178,R G DISTRIBUIDORA DE ALIMENTOS LTDA,09.000.000009.2024,2024
2024,"BETERRABA de primeira, sem folhas, bulbos de tamanho médio. Com ausência de sujidades, parasitos e larvas. Item registrado na ata: 0034/2023",245.0,Kg,7.54,527.8,3.0,PJ,52441900000178,R G DISTRIBUIDORA DE ALIMENTOS LTDA,09.000.000009.2024,2024
2024,"BRÓCOLIS (brócolos) de primeira. Com ausência de sujidades, parasitos e larvas. Item registrado na ata: 0034/2023",56.0,Kg,12.39,1734.6,13.57,PJ,52441900000178,R G DISTRIBUIDORA DE ALIMENTOS LTDA,09.000.000009.2024,2024
2024,"CAJU de primeira, in natura. Com ausência de sujidades, parasitos e larvas.  Item registrado na ata: 0034/2023",140.0,Kg,7.68,913.92,5.44,PJ,52441900000178,R G DISTRIBUIDORA DE ALIMENTOS LTDA,09.000.000009.2024,2024
2024,"CAQUI in natura. Com ausência de sujidades, parasitos elarvas. Item registrado na ata: 0034/2023",161.0,Kg,28.09,4494.4,5.01,PJ,52441900000178,R G DISTRIBUIDORA DE ALIMENTOS LTDA,09.000.000009.2024,2024
